Date,Title,Statement,Link,Summary
15.09.2018,"Vietnamesische ""Boatpeople""","""Wir sind Deutschland so dankbar""",https://web.archive.org/web/20180917023559/https://www.sueddeutsche.de/politik/vietnamesische-boatpeople-wir-sind-deutschland-so-dankbar-1.4115176,"Dabei wollte Hoàng Thị Mỹ Lâm nie in dieses Land, das sie einst als Geflüchtete vor dem Vietnamkrieg aufnahm. Eine Geschichte über Integration - und den ungebrochenen Glauben an Demokratie."
19.09.2018,EU-Treffen in Salzburg,Gipfel des Stillstands,https://web.archive.org/web/20180921061130/https://www.sueddeutsche.de/politik/eu-treffen-in-salzburg-gipfel-des-stillstands-1.4138045,"""Wir haben eine politische Krise, keine Flüchtlingskrise"", sagt Luxemburgs Premier Bettel. Die Zahl der neu ankommenden Flüchtlinge ist rückläufig, doch in der Migrationsfrage ist die EU weiter gespalten."
